custom_fields[pid],category,subcategory,group
6ES7157-1AB00-0AB0,PLC,Distributed I/O,Communication Module
6ES7492-1CL00-1AB0,PLC,PLC Hardware,PLC Accessories
6ES7492-1AL00-1AB0,PLC,PLC Hardware,PLC Accessories
6ES7136-6AA00-0CA1,PLC,Distributed I/O,I/O Module
6ES7195-7KF00-0XA0,PLC,PLC Hardware,I/O Module
6ES7870-1AB01-0YA1,PLC,Software,Device & Network Configuration
6ES7870-1AB01-0YA0,PLC,Software,Device & Network Configuration
6ES7870-1AA01-0YA1,PLC,Software,Device & Network Configuration
6ES7590-5CA00-0AA0,PLC,PLC Hardware,PLC Accessories
6ES7153-1AA03-0XB0,PLC,Distributed I/O,Communication Module
6ES7870-1AA01-0YA0,PLC,Software,Device & Network Configuration
6ES7590-1BC00-0AA0,PLC,PLC Hardware,PLC Accessories
6ES7590-0AA00-0AA0,PLC,PLC Hardware,PLC Accessories
6ES7860-4AA01-0YX0,PLC,Software,PLC Programming
6ES7155-5AA00-0AC0,PLC,Distributed I/O,Communication Module
6ES7550-1AA00-0AB0,PLC,PLC Hardware,I/O Module
6ES7138-6BA00-0BA0,PLC,Distributed I/O,Function Module
6ES7541-1AD00-0AB0,PLC,PLC Hardware,Communication Module
6ES7541-1AB00-0AB0,PLC,PLC Hardware,Communication Module
6ES7540-1AD00-0AA0,PLC,PLC Hardware,Communication Module
6ES7322-1HF10-0AA0,PLC,PLC Hardware,I/O Module
6ES7540-1AB00-0AA0,PLC,PLC Hardware,Communication Module
6ES7322-1HF01-0AA0,PLC,PLC Hardware,I/O Module
6ES7864-1CC42-0YA5,PLC,Software,PLC Programming
6ES7532-5HD00-0AB0,PLC,PLC Hardware,I/O Module
6DD1660-0BJ0,PLC,PLC Hardware,PLC Accessories
6ES7531-7NF10-0AB0,PLC,PLC Hardware,I/O Module
6ES7522-5HF00-0AB0,PLC,PLC Hardware,I/O Module
6ES7522-5FF00-0AB0,PLC,PLC Hardware,I/O Module
6ES7522-1BF00-0AB0,PLC,PLC Hardware,I/O Module
6ES7521-1FH00-0AA0,PLC,PLC Hardware,I/O Module
6ES7521-1BL00-0AB0,PLC,PLC Hardware,I/O Module
6ES7521-1BH50-0AA0,PLC,PLC Hardware,I/O Module
6ES7521-1BH00-0AB0,PLC,PLC Hardware,I/O Module
6ES7507-0RA00-0AB0,PLC,PLC Hardware,Power Supply
6ES7155-5BA00-0AB0,PLC,Distributed I/O,Communication Module
6ES7136-6PA00-0BC0,PLC,Distributed I/O,I/O Module
6ES7511-1AK02-0AB0,PLC,PLC Hardware,CPU
6ES7136-6DB00-0CA0,PLC,Distributed I/O,I/O Module
6ES7518-4FX00-1AC0,PLC,PLC Hardware,CPU
6ES7151-3BA23-0AB0,PLC,Distributed I/O,Communication Module
6ES7518-4AX00-1AC0,PLC,PLC Hardware,CPU
6ES7136-6BA00-0CA0,PLC,Distributed I/O,I/O Module
6ES7151-3AA23-0AB0,PLC,Distributed I/O,Communication Module
6ES7513-1FL02-0AB0,PLC,PLC Hardware,CPU
6ES7516-3UN00-0AB0,PLC,PLC Hardware,CPU
6ES7516-3TN00-0AB0,PLC,PLC Hardware,CPU
6ES7155-5AA01-0AB0,PLC,Distributed I/O,Communication Module
6ES7803-0CC03-0YE5,PLC,Software,PLC Programming
6ES7803-0CC03-0YA5,PLC,Software,PLC Programming
6ES7841-0CC05-0YE5,PLC,Software,PLC Programming
6ES7841-0CC05-0YA5,PLC,Software,PLC Programming
6ES7820-0CC04-0YA5,PLC,Software,PLC Programming
6ES7820-0CC04-0YE5,PLC,Software,PLC Programming
6ES7154-4AB10-0AB0,PLC,Distributed I/O,Communication Module
6ES7138-4DB03-0AB0,PLC,Distributed I/O,Function Module
6ES7137-6BD00-0BA0,PLC,Distributed I/O,Communication Module
6ES7137-6AA00-0BA0,PLC,Distributed I/O,Communication Module
6ES7822-1AA05-0XC5,PLC,Software,PLC Programming
6ES7810-5CE12-0YB5,PLC,Software,PLC Programming
6ES7810-5CC12-0YA5,PLC,Software,PLC Programming
6ES7810-4CC11-0JE5,PLC,Software,PLC Programming
6ES7810-4CC11-0JA5,PLC,Software,PLC Programming
6ES7810-4CC11-0KE5,PLC,Software,PLC Programming
6ES7810-4CC11-0KA5,PLC,Software,PLC Programming
6ES7811-0CC07-0YE5,PLC,Software,PLC Programming
6ES7811-0CC07-0YA5,PLC,Software,PLC Programming
6ES7810-4CC11-0YE5,PLC,Software,PLC Programming
6DD1682-0CH3,PLC,PLC Hardware,PLC Accessories
6ES7810-4CC11-0YA6,PLC,Software,PLC Programming
6DD1600-0BB0,PLC,PLC Hardware,CPU
6ES7810-4CC11-0YA5,PLC,Software,PLC Programming
6ES7672-7FC01-0YG0,PLC,Software,PLC Programming
6ES7672-7FC01-0YA0,PLC,Software,PLC Programming
6ES7672-7AC01-0YG0,PLC,Software,PLC Programming
6ES7672-7AC01-0YA0,PLC,Software,PLC Programming
