custom_fields[pid],category,subcategory,group
6ES7492-1CL00-1AB0,PLC,PLC Hardware,PLC Accessories
6ES7492-1AL00-1AB0,PLC,PLC Hardware,PLC Accessories
6ES7195-7KF00-0XA0,PLC,PLC Hardware,I/O Module
6ES7322-1HF10-0AA0,PLC,PLC Hardware,I/O Module
6ES7322-1HF01-0AA0,PLC,PLC Hardware,I/O Module
6ES7461-3AA01-0AA0,PLC,PLC Hardware,Communication Module
6ES7440-1CS00-0YE0,PLC,PLC Hardware,Communication Module
6ES7431-7KF00-6AA0,PLC,PLC Hardware,PLC Accessories
6ES7461-3AA00-7AA0,PLC,PLC Hardware,Communication Module
6ES7331-7SF00-0AB0,PLC,PLC Hardware,I/O Module
6ES7323-1BL00-0AA0,PLC,PLC Hardware,I/O Module
6ES7390-1AE80-0AA0,PLC,PLC Hardware,Accessories
6ES7374-2XH01-0AA0,PLC,PLC Hardware,I/O Module
6ES7370-0AA01-0AA0,PLC,PLC Hardware,I/O Module
6ES7461-0AA01-0AA0,PLC,PLC Hardware,Communication Module
6ES7461-0AA00-7AA0,PLC,PLC Hardware,Communication Module
6ES7460-3AA01-0AB0,PLC,PLC Hardware,Communication Module
6ES7460-0AA01-0AB0,PLC,PLC Hardware,Communication Module
6ES7455-1VS00-0AE0,PLC,PLC Hardware,Function Module
6ES7455-0VS00-0AE0,PLC,PLC Hardware,Function Module
6ES7453-3AH00-0AE0,PLC,PLC Hardware,Function Module
6ES7403-1TA01-0AA0,PLC,PLC Hardware,PLC Accessories
6ES7403-1JA01-0AA0,PLC,PLC Hardware,PLC Accessories
6ES7401-2TA01-0AA0,PLC,PLC Hardware,PLC Accessories
6ES7400-2JA00-0AA0,PLC,PLC Hardware,PLC Accessories
6ES7400-1TA01-0AA0,PLC,PLC Hardware,PLC Accessories
6ES7400-1JA01-0AA0,PLC,PLC Hardware,PLC Accessories
6ES7365-0BA01-0AA0,PLC,PLC Hardware,Communication Module
6ES7361-3CA01-0AA0,PLC,PLC Hardware,Communication Module
6ES7360-3AA01-0AA0,PLC,PLC Hardware,Communication Module
6ES7355-1VH10-0AE0,PLC,PLC Hardware,I/O Module
6ES7355-0VH10-0AE0,PLC,PLC Hardware,I/O Module
6ES7492-2XX00-0AA0,PLC,PLC Hardware,PLC Accessories
6ES7492-1CL00-0AA0,PLC,PLC Hardware,PLC Accessories
6ES7492-1BL00-0AA0,PLC,PLC Hardware,PLC Accessories
6ES7492-1AL00-0AA0,PLC,PLC Hardware,PLC Accessories
6ES7490-1AA00-0AA0,PLC,PLC Hardware,PLC Accessories
6ES7490-0AB00-0AA0,PLC,PLC Hardware,PLC Accessories
6ES7490-0AA00-0AA0,PLC,PLC Hardware,PLC Accessories
6ES7452-1AH00-0AE0,PLC,PLC Hardware,Function Module
